,rbfsvm,lightgbm,gbc
N_test_1,0.016909366303463767,0.026839226776475992,0.02629921860982635
N_test_2,0.0299411586546119,0.04433146723885536,0.04509978890384937
N_test_3,0.7447794884183119,0.8320731622556439,0.7883117688279548
N_test_4,0.37822655911656883,0.3611042028481581,0.4372151252789848
N_test_5,0.1518073222433544,0.4016680321322708,0.4507069004203209
N_test_6,0.09169748838436717,0.17607784668698834,0.1274295016125916
N_test_7,0.15615361455207616,0.3361659197470263,0.35218810579898446
N_test_8,0.08856896486670733,0.30497428203021965,0.202966687451
N_test_9,0.10333898556855597,0.21811009852065788,0.23236874749427344
N_test_10,0.1649209511829917,0.06753640846415558,0.11215186887968677
N_test_11,0.7263656048522715,0.33952738926976583,0.2546394682194585
N_test_12,0.02402590875173455,0.096988114803916,0.062236979724782836
N_test_13,0.5626383785246535,0.332551233364978,0.4862832187586803
N_test_14,0.18634964410834617,0.05243324415418076,0.049198728190156873
N_test_15,0.4515473940226602,0.13146316643523756,0.054288136417882535
N_test_16,0.34831220375997635,0.3077355047489165,0.4145585215490817
N_test_17,0.1831897442060328,0.35931865827219933,0.32688747033396165
N_test_18,0.2556834056343296,0.2620676849945777,0.35749006580992554
N_test_19,0.09928093514472355,0.37734062251428246,0.07342928260064546
N_test_20,0.2264129333526044,0.23398440841194262,0.04536403135278052
N_test_21,0.2605969911856275,0.4097870350953542,0.31630393573455035
N_test_22,0.08798044653404302,0.015361814274240061,0.06135002935442863
N_test_23,0.04800501957516094,0.06589522901466996,0.0419096734272011
N_test_24,0.09598969325820864,0.08202246275847595,0.27689237117919346
N_test_25,0.06955558656107975,0.07331418887156405,0.33116349047593635
N_test_26,0.10232307581485627,0.15336531725300215,0.1706224604375974
N_test_27,0.070573352449791,0.09549852309384971,0.29700328021161804
N_test_28,0.8284994966736924,0.21491850846882452,0.6157493189665445
N_test_29,0.14476355441347055,0.1998670907330722,0.07576846488613748
N_test_30,0.46870673073381064,0.6130328851149688,0.4810257095529385
N_test_31,0.1412586743525016,0.14325352992429988,0.22521516273488482
N_test_32,0.30728371514980507,0.2906609478187913,0.14426327153328627
N_test_33,0.1796881046611937,0.43145726887957353,0.24574498072423062
N_test_34,0.2951828475016384,0.17147359435040058,0.42642362671750017
N_test_35,0.12525169456841134,0.2881979821574012,0.09782137174795501
N_test_36,0.19243724275207116,0.31198325931306514,0.3272987722938138
N_test_37,0.6726360649727312,0.2415722101616646,0.3674596164965686
N_test_38,0.16927502331959618,0.2904611929474268,0.4514855966820261
N_test_39,0.594368685353366,0.2687254430891404,0.15230050502075632
N_test_40,0.10394904819044395,0.044585330727277835,0.05966794885338876
N_test_41,0.07418305570268514,0.05409447909273208,0.047627892597746246
N_test_42,0.5053319302380744,0.14278822219559176,0.078684965587638
N_test_43,0.5182275556803206,0.5002875003559994,0.2800088963962747
N_test_44,0.10492593689100661,0.05629364422010415,0.04900338715724154
N_test_45,0.1021914133076254,0.3311151181752188,0.40998086339594464
N_test_46,0.0724896658728812,0.2177245887745272,0.13811888336404762
N_test_47,0.24142452989693322,0.14319148369374232,0.22824795548756266
N_test_48,0.2423475229779265,0.03521449501221317,0.08560261941258325
N_test_49,0.1272884380141997,0.06886196780877148,0.05069043719861269
N_test_50,0.05926022916580914,0.18379586995711739,0.3378730920450748
N_test_51,0.09020010358773843,0.061229066140967285,0.056063226981170326
N_test_52,0.04279893240082171,0.2815761978667784,0.4891389657808767
N_test_53,0.08657556992227036,0.25744186305843497,0.11450875168565962
N_test_54,0.2524283930944019,0.2098183037237946,0.2997118501150285
N_test_55,0.07208735104339911,0.3243492920042976,0.26270684112373377
N_test_56,0.06358835551396967,0.03333969859675399,0.04562734656304946
N_test_57,0.21288115774721042,0.15836658458382083,0.25238950624181444
N_test_58,0.09613435483258938,0.2508322128216062,0.17449921454238715
N_test_59,0.15059235399366633,0.3837436400698678,0.4287081164740709
N_test_60,0.5939708263939562,0.17763410619287331,0.33061575207289684
N_test_61,0.8868913859884501,0.5050781997763069,0.8333805923432374
N_test_62,0.12309832749137042,0.13199678135551204,0.3435743394139709
N_test_63,0.14691974580050066,0.1723177643655801,0.13974374162459874
N_test_64,0.08617096495699544,0.35906322444789895,0.371194618239379
N_test_65,0.136732637181901,0.4761002456032681,0.23063984642115906
N_test_66,0.22920387168482953,0.22621482743158264,0.17812225329079348
N_test_67,0.4147775827020558,0.8083043351648865,0.8204167432306405
N_test_68,0.0880799421298821,0.039510370205698274,0.048331448249456836
N_test_69,0.0662707336882699,0.03119047057108125,0.048529329187728266
N_test_70,0.07493672739299179,0.03811655063679709,0.025009523500608602
N_test_71,0.11019478047063493,0.048122786744886285,0.013184073884873327
N_test_72,0.09462514354287527,0.10711329627751011,0.008181357634236055
N_test_73,0.2979222873940557,0.16249818222161086,0.05416818944127067
N_test_74,0.28720790562216264,0.1543060937767346,0.06706385910228335
N_test_75,0.1058518290330396,0.04108857411006106,0.020824000012420286
N_test_76,0.07860576922744071,0.034163440716565775,0.046940593214147695
N_test_77,0.06662173633045936,0.048795227445026255,0.0650904302770731
N_test_78,0.04804912914831274,0.09692894358933044,0.03494515261716941
N_test_79,0.08454454158647254,0.06121671183302573,0.04536623020237801
N_test_80,0.08156064172347144,0.05766029412861244,0.026154459699089926
N_test_81,0.027436277858640685,0.037301041375310234,0.026337849725781782
N_test_82,0.04530193849999558,0.017199395631480468,0.02956481698350673
N_test_83,0.3112735673819819,0.23789308345801824,0.06618505760279551
N_test_84,0.3434228674427718,0.469104774713409,0.2638776110107605
N_test_85,0.30575585526837795,0.20499228931493851,0.3929593759033659
N_test_86,0.517625735789731,0.45252098096096866,0.6317732655539346
N_test_87,0.8203001545544705,0.6636871760435796,0.7829952071092579
N_test_88,0.0288567430423854,0.039813871875541,0.029035729335882644
N_test_89,0.7328054712134274,0.4896933454085183,0.7756512375778307
N_test_90,0.47718097818310806,0.3689871227224112,0.3075425377797238
N_test_91,0.5665940430854995,0.632353154140631,0.65102291410329
N_test_92,0.33678126771142763,0.32576630617140206,0.1867843377241268
N_test_93,0.19134917455680517,0.2121780804077001,0.409594287395102
N_test_94,0.8295853616654227,0.7811210845928005,0.8042541912660695
N_test_95,0.7966471776758169,0.6565336703944714,0.8481368730863295
N_test_96,0.10547922753611237,0.7739665234820405,0.9287685260958048
N_test_97,0.7006897631661588,0.4930689954063163,0.8196322746707482
N_test_98,0.2013212492819001,0.08644045470104347,0.06063179494124304
N_test_99,0.48029489822798704,0.5637963033726613,0.677838167209968
N_test_100,0.6405487223097928,0.6454062122036925,0.8943545295358142
N_test_101,0.16746387189392362,0.053077559388230666,0.03203709246010786
N_test_102,0.5,0.48534750361366874,0.41495358744912
N_test_103,0.2207613819321908,0.11469526384953477,0.07174428531211882
N_test_104,0.5996995402040773,0.6289165665528471,0.39535670540003326
N_test_105,0.2879662494929712,0.09251579597198069,0.18900454152212565
N_test_106,0.20212780353003695,0.25780370018842025,0.03919200298775904
N_test_107,0.3520796052060657,0.30372916321259563,0.3591676342701525
N_test_108,0.010672545105590325,0.23975967430380968,0.062052907003041544
N_test_109,0.143901759422903,0.41203207604575987,0.0637143524491682
N_test_110,0.7081720560326159,0.800832449409316,0.8209647504507258
N_test_111,0.7365411568208999,0.5936737648040757,0.6484247767327218
N_test_112,0.2293014882170314,0.19277173334320383,0.025351509653094885
N_test_113,0.46610609994689634,0.31823224461502075,0.17165602385281292
N_test_114,0.8824076316730642,0.8953124203244919,0.8038782180655794
N_test_115,0.8126431902755321,0.7850353982932166,0.5061017694415545
N_test_116,0.36754393393136625,0.2538975810942993,0.09059814690418576
N_test_117,0.3851735564083064,0.12805305785506813,0.027224830889269667
N_test_118,0.20160507078282133,0.10769685061446696,0.056792400032723345
N_test_119,0.5794944722255162,0.38012341714463416,0.11129888344570302
N_test_120,0.3820528687045302,0.12987150577068685,0.06793839199216929
N_test_121,0.7225165098792494,0.4347597063952414,0.3355508307282428
N_test_122,0.4522663506810611,0.23577428905237208,0.1531111864784186
N_test_123,0.39433097815381973,0.13068403234786868,0.3951606425226277
N_test_124,0.3766540234693566,0.09493566243321906,0.35694224080834414
N_test_125,0.15566676600069865,0.3130633753261753,0.5935956877501627
N_test_126,0.4899175497912922,0.447311756894913,0.7989751938205553
N_test_127,0.4218822385141497,0.2798468929398025,0.21733330295895534
N_test_128,0.5246450775045011,0.41919827932150666,0.20729775430396044
N_test_129,0.3815792264265148,0.4729216221522596,0.16659921443481954
N_test_130,0.40316419634334894,0.5742963172065454,0.4146997335360495
N_test_131,0.09378749214475217,0.06582846426439816,0.015284726169358952
N_test_132,0.6029034433525737,0.6078871677756754,0.34366308308876786
N_test_133,0.029370987791176927,0.040597731444315735,0.02070491254784831
N_test_134,0.022731679941636992,0.03982228617540765,0.029172003022354887
N_test_135,0.012707965676723476,0.02174290067421978,0.0262919493792374
N_test_136,0.18267343018187762,0.23606528439289917,0.038844382467479135
N_test_137,0.05523127991253869,0.032031244875185605,0.015070973192849033
N_test_138,0.08828149084931357,0.07066612516136121,0.0642765949802161
N_test_139,0.11092160160144228,0.15910284940674843,0.23064099653232797
N_test_140,0.20682569200551126,0.0704133555350194,0.23383134447725368
N_test_141,0.3491346350687359,0.18806609960139653,0.2800556446544818
N_test_142,0.14079879198497516,0.08522066980484377,0.03402625445004101
N_test_143,0.05963753003728324,0.025584033374291625,0.10082342402236219
N_test_144,0.05671093367542485,0.018676322155250807,0.08534553099073698
N_test_145,0.35098664731540075,0.7530507293758065,0.7152314625422711
N_test_146,0.1873125797357074,0.3589970118027357,0.34424419987652455
N_test_147,0.23320535047125082,0.2395708001892434,0.19148698956648144
N_test_148,0.44881670336928214,0.429177942214755,0.09943953266030302
N_test_149,0.13875638260897588,0.04885361831456091,0.0456212484574657
