,rbfsvm,lightgbm,gbc
N_test_1,0,0,0
N_test_2,0,0,0
N_test_3,1,1,1
N_test_4,0,0,0
N_test_5,0,0,0
N_test_6,0,0,0
N_test_7,0,0,0
N_test_8,0,0,0
N_test_9,0,0,0
N_test_10,0,0,0
N_test_11,1,0,0
N_test_12,0,0,0
N_test_13,1,0,0
N_test_14,0,0,0
N_test_15,1,0,0
N_test_16,0,0,0
N_test_17,0,0,0
N_test_18,0,0,0
N_test_19,0,0,0
N_test_20,0,0,0
N_test_21,0,0,0
N_test_22,0,0,0
N_test_23,0,0,0
N_test_24,0,0,0
N_test_25,0,0,0
N_test_26,0,0,0
N_test_27,0,0,0
N_test_28,1,0,1
N_test_29,0,0,0
N_test_30,1,1,0
N_test_31,0,0,0
N_test_32,0,0,0
N_test_33,0,0,0
N_test_34,0,0,0
N_test_35,0,0,0
N_test_36,0,0,0
N_test_37,1,0,0
N_test_38,0,0,0
N_test_39,1,0,0
N_test_40,0,0,0
N_test_41,0,0,0
N_test_42,1,0,0
N_test_43,1,1,0
N_test_44,0,0,0
N_test_45,0,0,0
N_test_46,0,0,0
N_test_47,0,0,0
N_test_48,0,0,0
N_test_49,0,0,0
N_test_50,0,0,0
N_test_51,0,0,0
N_test_52,0,0,0
N_test_53,0,0,0
N_test_54,0,0,0
N_test_55,0,0,0
N_test_56,0,0,0
N_test_57,0,0,0
N_test_58,0,0,0
N_test_59,0,0,0
N_test_60,1,0,0
N_test_61,1,1,1
N_test_62,0,0,0
N_test_63,0,0,0
N_test_64,0,0,0
N_test_65,0,0,0
N_test_66,0,0,0
N_test_67,0,1,1
N_test_68,0,0,0
N_test_69,0,0,0
N_test_70,0,0,0
N_test_71,0,0,0
N_test_72,0,0,0
N_test_73,0,0,0
N_test_74,0,0,0
N_test_75,0,0,0
N_test_76,0,0,0
N_test_77,0,0,0
N_test_78,0,0,0
N_test_79,0,0,0
N_test_80,0,0,0
N_test_81,0,0,0
N_test_82,0,0,0
N_test_83,0,0,0
N_test_84,0,0,0
N_test_85,0,0,0
N_test_86,1,0,1
N_test_87,1,1,1
N_test_88,0,0,0
N_test_89,1,0,1
N_test_90,1,0,0
N_test_91,1,1,1
N_test_92,0,0,0
N_test_93,0,0,0
N_test_94,1,1,1
N_test_95,1,1,1
N_test_96,0,1,1
N_test_97,1,0,1
N_test_98,0,0,0
N_test_99,1,1,1
N_test_100,1,1,1
N_test_101,0,0,0
N_test_102,1,0,0
N_test_103,0,0,0
N_test_104,1,1,0
N_test_105,0,0,0
N_test_106,0,0,0
N_test_107,0,0,0
N_test_108,0,0,0
N_test_109,0,0,0
N_test_110,1,1,1
N_test_111,1,1,1
N_test_112,0,0,0
N_test_113,1,0,0
N_test_114,1,1,1
N_test_115,1,1,1
N_test_116,0,0,0
N_test_117,0,0,0
N_test_118,0,0,0
N_test_119,1,0,0
N_test_120,0,0,0
N_test_121,1,0,0
N_test_122,1,0,0
N_test_123,0,0,0
N_test_124,0,0,0
N_test_125,0,0,1
N_test_126,1,0,1
N_test_127,0,0,0
N_test_128,1,0,0
N_test_129,0,0,0
N_test_130,0,1,0
N_test_131,0,0,0
N_test_132,1,1,0
N_test_133,0,0,0
N_test_134,0,0,0
N_test_135,0,0,0
N_test_136,0,0,0
N_test_137,0,0,0
N_test_138,0,0,0
N_test_139,0,0,0
N_test_140,0,0,0
N_test_141,0,0,0
N_test_142,0,0,0
N_test_143,0,0,0
N_test_144,0,0,0
N_test_145,0,1,1
N_test_146,0,0,0
N_test_147,0,0,0
N_test_148,1,0,0
N_test_149,0,0,0
N_test_150,0,0,0
N_test_151,0,0,0
N_test_152,0,0,0
N_test_153,0,0,0
N_test_154,0,0,0
N_test_155,0,0,0
N_test_156,0,0,0
N_test_157,0,0,0
N_test_158,0,0,0
N_test_159,0,0,0
N_test_160,0,0,0
N_test_161,0,0,0
N_test_162,0,0,0
N_test_163,0,0,0
N_test_164,0,0,0
N_test_165,0,0,0
N_test_166,0,0,0
N_test_167,0,0,1
N_test_168,0,0,1
N_test_169,0,0,0
N_test_170,0,0,0
N_test_171,0,0,0
N_test_172,0,0,0
N_test_173,0,0,0
N_test_174,0,0,0
N_test_175,1,0,0
N_test_176,0,0,0
N_test_177,1,1,1
N_test_178,0,1,1
N_test_179,0,0,0
N_test_180,0,0,0
N_test_181,0,0,0
N_test_182,0,0,0
N_test_183,0,0,0
N_test_184,0,0,0
N_test_185,0,0,0
N_test_186,0,1,1
N_test_187,0,1,1
N_test_188,0,1,1
N_test_189,1,1,1
N_test_190,0,0,0
N_test_191,0,0,0
N_test_192,0,0,0
N_test_193,0,0,0
N_test_194,0,0,0
N_test_195,0,0,1
N_test_196,0,0,0
N_test_197,0,0,0
N_test_198,0,0,0
N_test_199,1,0,0
N_test_200,0,0,0
N_test_201,1,0,0
N_test_202,1,0,0
N_test_203,0,0,0
N_test_204,0,0,0
N_test_205,0,0,0
N_test_206,0,0,0
N_test_207,0,0,0
N_test_208,0,0,0
N_test_209,0,0,0
N_test_210,1,0,0
N_test_211,1,1,1
N_test_212,0,0,0
N_test_213,1,0,1
N_test_214,1,0,0
N_test_215,1,0,0
N_test_216,1,0,0
N_test_217,1,0,0
N_test_218,1,0,0
N_test_219,0,0,0
N_test_220,1,0,0
N_test_221,1,1,1
N_test_222,0,0,0
N_test_223,1,0,0
N_test_224,0,0,0
N_test_225,1,0,0
N_test_226,0,0,0
N_test_227,0,0,0
N_test_228,1,0,0
N_test_229,0,0,0
N_test_230,1,0,0
